"indice_tiempo","acero_consumo_tubos_sin_costura","acero_consumo_laminados_planos","acero_consumo_laminados_largos"
"2008-01-01",65,801,438
"2008-04-01",84,787,524
"2008-07-01",52,639,465
"2008-10-01",29,463,423
"2009-01-01",11,288,426
"2009-04-01",30,333,294
"2009-07-01",40,508,375
"2009-10-01",38,619,407
"2010-01-01",68,520,425
"2010-04-01",58,666,443
"2010-07-01",69,728,445
"2010-10-01",91,684,410
"2011-01-01",91,722,461
"2011-04-01",49,636,502
"2011-07-01",88,857,510
"2011-10-01",100,818,500
"2012-01-01",68,647,479
"2012-04-01",123,686,436
"2012-07-01",86,654,474
"2012-10-01",81,717,442
"2013-01-01",67,707,428
"2013-04-01",76,745,482
"2013-07-01",58,681,491
"2013-10-01",75,730,507
"2014-01-01",60,747,468
"2014-04-01",110,711,529
"2014-07-01",117,643,421
"2014-10-01",58,662,478
"2015-01-01",46,686,446
"2015-04-01",50,799,473
"2015-07-01",85,791,558
"2015-10-01",49,766,482
"2016-01-01",37,664,406
"2016-04-01",66,697,378
"2016-07-01",51,505,342
"2016-10-01",61,610,366
"2017-01-01",17,668,370
"2017-04-01",69,747,496
"2017-07-01",55,829,481
"2017-10-01",65,688,478
