X;Y;NOMBRE;DOMICILIO;IMAGEN;AUTOMAT;OBSERV;NRO_EST;HORARIO;DIRE_NORM
-58.392452073016969;-34.583133075763527;FACULTAD DE DERECHO;AV. PRES.FIGUEROA ALCORTA Y  JUAN A.BIBILONI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);1;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;FIGUEROA ALCORTA, PRES. AV. Y BIBILONI, JUAN A.
-58.374821787756275;-34.592588809772892;RETIRO;AV. DR.JOSE RAMOS MEJIA Y DEL LIBERTADOR AV;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);2;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.
-58.36891784255409;-34.611242024977074;ADUANA;AV. ING.HUERGO Y AV. BELGRANO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);3;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;HUERGO, ING. AV. Y BELGRANO AV.
-58.368950383367881;-34.601721087592914;PLAZA ROMA;LAVALLE Y BOUCHARD;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);4;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;LAVALLE Y BOUCHARD
-58.36970867192413;-34.628301312470043;PARQUE LEZAMA;AV MARTIN GARCIA E IRALA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);6;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;GARCIA, MARTIN AV. E IRALA
-58.420997041078039;-34.580127344307357;PLAZA ITALIA;AV. SANTA FE Y AV. SARMIENTO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);5;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;SARMIENTO AV. Y CALZADA CIRCULAR PLAZA ITALIA
-58.380989604108223;-34.60584049631661;OBELISCO;AV. 9 DE JULIO Y TTE. GRAL JUAN DOMINGO PERON;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);7;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PELLEGRINI, CARLOS Y PERON, JUAN DOMINGO, TTE. GENERAL
-58.389253260153261;-34.609930459200115;CONGRESO;AV. HIPOLITO YRIGOYEN Y VIRREY CEBALLOS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);8;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;YRIGOYEN, HIPOLITO AV. Y CEVALLOS, VIRREY
-58.40714467125671;-34.583914572572432;PARQUE LAS HERAS;PARQUE LAS HERAS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);9;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DIAZ, CNEL. AV. Y FRENCH
-58.365745861129696;-34.615551427997516;PUERTO MADERO - UCA;MOREAU DE JUSTO 1500;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);10;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1500 MOREAU DE JUSTO, ALICIA AV.
